STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE
Alabama,1992,,2678885,304177,1659028,715680,2653798,1481703,735036,,174053
Alaska,1992,,1049591,106780,720711,222100,972488,498362,350902,,37451
Arizona,1992,,3258079,297888,1369815,1590376,3401580,1435908,1007732,,609114
Arkansas,1992,,1711959,178571,958785,574603,1743022,964323,483488,,145212
California,1992,,26260025,2072470,16546514,7641041,27138832,14358922,8520926,,2044688
Colorado,1992,,3185173,163253,1307986,1713934,3264826,1642466,1035970,,364760
Connecticut,1992,,3834302,143542,1342539,2348221,3721338,2148041,1142600,,48542
Delaware,1992,,645233,45945,420942,178346,638784,372722,194915,,30595
District of Columbia,1992,,709480,64749,0,644731,742893,329160,316679,,47272
Florida,1992,,11506299,788420,5683949,5033930,11305642,5166374,3410440,,1667826
Georgia,1992,,5536901,398701,2798674,2339526,5535942,3043984,1559059,,526644
Hawaii,1992,,996809,71273,903443,22093,1040121,536115,291376,,126212
Idaho,1992,,859329,69138,531912,258279,886161,473505,246320,,111353
Illinois,1992,,9748650,597077,3073178,6078395,9850560,5010400,3148849,,727858
Indiana,1992,,5060274,257044,2578149,2225081,5182754,2598925,1478639,,536404
Iowa,1992,,2663934,125665,1176205,1362064,2795774,1446478,800570,,222086
Kansas,1992,,2245348,121625,903199,1220524,2234915,1165749,708572,,157705
Kentucky,1992,,2642902,289902,1643109,709891,2518082,1343438,817871,,136694
Louisiana,1992,,3341253,367822,1848734,1124697,3362853,1888349,986486,,135305
Maine,1992,,1206819,73160,511654,622005,1228869,685350,317880,,97128
Maryland,1992,,4658498,228336,1778834,2651328,4698374,2628891,1461083,,340298
Massachusetts,1992,,5517659,273946,1439051,3804662,5245560,2751871,1523068,,167247
Michigan,1992,,9963137,537917,2539380,6885840,10170688,4681327,3321276,,825552
Minnesota,1992,,4684684,194092,2380754,2109838,4981125,2534882,1343203,,463724
Mississippi,1992,,1684706,277706,901199,505801,1691990,956104,445364,,131795
Missouri,1992,,4043682,255194,1903124,1885364,4197600,2168135,1221397,,474552
Montana,1992,,828983,69947,337455,421581,781009,412219,241644,,64263
Nebraska,1992,,1542413,85423,492256,964734,1534046,909159,394690,,132183
Nevada,1992,,1097076,45018,724032,328026,1251651,572623,334685,,249189
New Hampshire,1992,,1063391,31020,86296,946075,1066647,581123,310285,,63554
New Jersey,1992,,10814689,416063,4504718,5893908,10452340,6042936,2911782,,474259
New Mexico,1992,,1330091,161520,990653,177918,1339829,683253,432392,,139206
New York,1992,,21630179,1172030,8697663,11760486,22815611,13288972,6132532,,1640971
North Carolina,1992,,5236099,389145,3283378,1563576,5418687,2847638,1422278,,774194
North Dakota,1992,,559481,51476,242693,265312,553732,315009,152340,,34904
Ohio,1992,,9285961,472604,3631703,5181654,9483822,5172782,2961942,,742377
Oklahoma,1992,,2396705,211627,1470516,714562,2515272,1283577,779828,,194081
Oregon,1992,,2773959,163544,788309,1822106,2898210,1556770,967075,,230464
Pennsylvania,1992,,11257252,658139,4227323,6371790,11539253,6075381,3329224,,964457
Rhode Island,1992,,883073,43545,329810,509718,863404,556787,265279,,14685
South Carolina,1992,,2842626,249903,1350148,1242575,2922293,1544232,768292,,261644
South Dakota,1992,,551668,60671,147834,343163,593126,320561,169697,,65568
Tennessee,1992,,3080490,308571,1305381,1466538,3132516,1830264,799825,,232437
Texas,1992,,16264180,1160185,6706959,8397036,16119084,7961379,4613884,,1833239
Utah,1992,,1555799,105349,872510,577940,1547980,841552,396073,,155425
Vermont,1992,,812377,31757,204163,576457,800377,386699,205777,,25781
Virginia,1992,,5631293,313971,2180133,3137189,5744469,2982862,1758078,,523409
Washington,1992,,4870832,263053,3467779,1140000,5360834,2587181,1518521,,855759
West Virginia,1992,,1585099,130117,1021803,433179,1587968,835186,465429,,156015
Wisconsin,1992,,4993909,217723,2205439,2570747,5181471,2914442,1490415,,416449
Wyoming,1992,,629748,31714,314216,283818,624941,339953,185930,,60815
Alabama,1993,727716.0,2827391,331409,1729295,766687,2833433,1564558,794146,237222.0,204207
Alaska,1993,121156.0,1191398,176150,775829,239419,1126398,494917,433788,36291.0,135791
Arizona,1993,676297.0,3427976,318465,1415407,1694104,3623946,1578889,1000914,164083.0,680139
Arkansas,1993,311432.0,1346909,128196,771079,447634,1376067,782791,386526,68617.0,97824
California,1993,5129788.0,28043338,2151157,17064146,8828035,28110986,15281147,8914559,1608514.0,1944760
Colorado,1993,539538.0,3058326,147793,1242337,1668196,3028305,1537714,954032,92163.0,318959
Connecticut,1993,471918.0,4064158,149204,1433539,2481415,4079943,2302852,1190914,143312.0,186802
Delaware,1993,104355.0,683954,44497,443250,196207,694534,394680,207850,26548.0,47372
District of Columbia,1993,80937.0,721151,73882,0,647269,719440,339266,302281,39819.0,38074
Florida,1993,1980569.0,11370156,947326,5520893,4901937,11425183,5333136,3557043,852220.0,1424334
Georgia,1993,893557.0,4716559,296231,2243580,2176748,4647974,2538712,1323320,260423.0,439808
Hawaii,1993,177448.0,1062475,76183,962375,23917,1063090,580597,304362,95700.0,82431
Idaho,1993,231632.0,890835,72747,547454,270634,899819,499914,260805,41238.0,81359
Illinois,1993,1856841.0,10584624,632724,3467071,6484829,10744695,5520683,3352722,426411.0,852085
Indiana,1993,958052.0,5833420,278090,3005534,2549796,5668599,2862585,1619011,268924.0,477709
Iowa,1993,493957.0,2880731,131444,1299055,1450232,2889377,1522556,818922,114390.0,196098
Kansas,1993,451469.0,2386945,123082,1165178,1098685,2522542,1309958,802965,142268.0,195674
Kentucky,1993,489281.0,2381148,216900,1529326,634922,2283431,1247496,711873,151526.0,127578
Louisiana,1993,795719.0,3438321,397206,1876967,1164148,3427102,1898515,997974,262609.0,173012
Maine,1993,211511.0,1368095,77440,652164,638491,1321846,809278,328664,67864.0,55490
Maryland,1993,751850.0,4918010,252211,1940713,2725086,4898895,2785206,1508203,224147.0,324925
Massachusetts,1993,862495.0,6121612,305113,1924321,3892178,5679261,3237228,1720824,191641.0,59238
Michigan,1993,1600650.0,11034174,594226,3326748,7113200,11430958,5411969,3689748,715410.0,932700
Minnesota,1993,781566.0,4862635,213724,2284106,2364805,5290504,2756415,1327959,466306.0,512196
Mississippi,1993,329408.0,1170109,174870,612301,382938,1167032,652571,318799,89766.0,87575
Missouri,1993,834636.0,4196601,271548,1939230,1985823,4234845,2229886,1250115,227686.0,399553
Montana,1993,158875.0,813998,74386,445532,294080,833435,446245,261677,64200.0,49720
Nebraska,1993,281354.0,1625242,94308,509432,1021502,1642376,972575,424311,57564.0,141118
Nevada,1993,222846.0,1148268,52876,753277,342115,1265367,611914,360827,41799.0,195478
New Hampshire,1993,177722.0,1109743,34680,84342,990721,1091814,611158,322618,34802.0,42172
New Jersey,1993,653488.0,6747567,331924,3104597,3311046,6641624,3676378,2092298,203775.0,342746
New Mexico,1993,281407.0,1217194,154018,897725,165451,1223185,587753,427793,62453.0,128202
New York,1993,2663637.0,22688753,1276362,8848470,12563921,23934282,14029639,6425626,935895.0,1625848
North Carolina,1993,1112636.0,5583166,433602,3388466,1761098,5475174,3037814,1525471,345822.0,480317
North Dakota,1993,118793.0,580148,56254,243783,280111,588983,310940,156042,44647.0,41585
Ohio,1993,1834239.0,10841606,509488,4156070,6176048,10385253,5522474,3653046,451400.0,588386
Oklahoma,1993,312817.0,1436505,99809,802783,533913,1428916,726475,457062,113582.0,113949
Oregon,1993,509814.0,3141217,196584,1180698,1763935,3149126,1712282,1053438,98785.0,209804
Pennsylvania,1993,1719829.0,12269422,695807,4781408,6792207,12809067,6856146,3622113,684867.0,966827
Rhode Island,1993,138939.0,919594,46215,351512,521867,901540,588044,268106,11541.0,12708
South Carolina,1993,631613.0,3031112,277419,1419961,1333732,2994038,1592384,820795,269661.0,221824
South Dakota,1993,107050.0,465650,52787,120851,292012,481665,265549,139963,22308.0,43632
Tennessee,1993,844668.0,3268642,334410,1535027,1399205,3286481,1969619,781510,209586.0,248037
Texas,1993,3535333.0,20267205,1233446,9919561,9114198,18574871,8914245,5150373,971683.0,2989512
Utah,1993,462323.0,1638305,116791,928596,592918,1665011,881924,410867,128758.0,207312
Vermont,1993,97454.0,837540,34179,216778,586583,809853,405876,193543,22698.0,15655
Virginia,1993,1032842.0,5918536,365601,2358711,3194224,5955333,3121277,1837782,303062.0,488487
Washington,1993,896197.0,5270961,284396,3720223,1266342,5791436,2778268,1626508,235224.0,942214
West Virginia,1993,317719.0,1832154,140913,1220263,470978,1829848,1023497,500010,116349.0,171484
Wisconsin,1993,829085.0,5357945,226234,2205644,2926067,5640718,3111910,1629643,193368.0,500029
Wyoming,1993,100313.0,615130,35437,308683,271010,614807,334071,193624,21047.0,48076
Alabama,1994,730004.0,2970223,331823,1850894,787506,3103266,1697593,826442,306977.0,231508
Alaska,1994,123868.0,1052282,134168,668229,249885,1116160,516242,446458,36589.0,98486
Arizona,1994,708482.0,3566586,348847,1478372,1739367,3803379,1652311,1054136,183778.0,696618
Arkansas,1994,312695.0,1393287,132108,810396,450783,1445984,816270,403608,75434.0,105349
California,1994,4120498.0,23440845,2095878,13175550,8169417,23012688,12443864,6754346,1615630.0,1916061
Colorado,1994,549570.0,3061865,165539,1269532,1626794,3113755,1574164,977343,95796.0,328219
Connecticut,1994,479522.0,4268860,142392,1537064,2589404,4132350,2431273,1221662,150749.0,53083
Delaware,1994,103782.0,705798,50572,447430,207796,732323,413915,217782,30320.0,50805
District of Columbia,1994,80678.0,735720,79432,0,656288,769818,351028,332951,63271.0,22568
Florida,1994,2039884.0,12315950,890498,6158417,5267035,12469073,5715125,3849613,898855.0,1769738
Georgia,1994,1235304.0,6824191,449430,3473578,2901183,6597359,3509251,1862815,405376.0,723316
Hawaii,1994,181212.0,1133949,77993,1025813,30143,1146267,615270,322736,93482.0,114779
Idaho,1994,236774.0,949999,77626,576106,296267,974781,538783,273654,44562.0,99924
Illinois,1994,1875956.0,11309803,628532,3697747,6983524,10743708,5727974,3468903,446271.0,508619
Indiana,1994,963071.0,6121754,286351,2754602,3080801,6061435,3003825,1743788,273493.0,551285
Iowa,1994,497925.0,2987394,139312,1339912,1508170,2974072,1551221,858078,120252.0,195410
Kansas,1994,457744.0,2700587,134686,1540727,1025174,2643192,1371720,856673,156331.0,172340
Kentucky,1994,490069.0,2491948,238630,1561340,691978,2392549,1310208,761029,145930.0,126669
Louisiana,1994,798312.0,3571864,437307,1914388,1220169,3539581,1952186,1033282,270613.0,197625
Maine,1994,211731.0,1357116,77393,609841,669882,1338353,799103,325201,72234.0,73376
Maryland,1994,772638.0,5141505,258611,2002382,2880512,5187683,2812922,1673254,254041.0,387699
Massachusetts,1994,877384.0,6410757,312111,2119446,3979200,6391131,3536321,1914124,189810.0,282757
Michigan,1994,1601845.0,11762546,658039,3489815,7614692,12023935,5825127,3912910,803226.0,877390
Minnesota,1994,802913.0,5262482,224106,2822949,2215427,5581140,2876527,1388180,490949.0,565106
Mississippi,1994,503374.0,1911579,296345,1048767,566467,1919812,1072529,515600,148515.0,159184
