YEAR,STATE,AVG_SCORE,TEST_SUBJECT,TEST_YEAR,ENROLL,TOTAL_REVENUE,INSTRUCTION_EXPENDITURE,TOTAL_REV_PER_STUDENT,INSTRUCTION_EXPENDITURE_PER_STUDENT
2015,Alabama,230.9774227,Mathematics,4,734974.0,7360222,3817479,10014.26,5194.03
2015,Alabama,266.5553185,Mathematics,8,734974.0,7360222,3817479,10014.26,5194.03
2015,Alabama,217.04908980000002,Reading,4,734974.0,7360222,3817479,10014.26,5194.03
2015,Alabama,258.7537615,Reading,8,734974.0,7360222,3817479,10014.26,5194.03
2015,Alaska,236.328417,Mathematics,4,130755.0,2920986,1484610,22339.38,11354.14
2015,Alaska,280.49345619999997,Mathematics,8,130755.0,2920986,1484610,22339.38,11354.14
2015,Alaska,212.79260019999998,Reading,4,130755.0,2920986,1484610,22339.38,11354.14
2015,Alaska,260.3170188,Reading,8,130755.0,2920986,1484610,22339.38,11354.14
2015,Arizona,237.6117554,Mathematics,4,944978.0,8230507,3846357,8709.73,4070.31
2015,Arizona,282.9194894,Mathematics,8,944978.0,8230507,3846357,8709.73,4070.31
2015,Arizona,215.3113365,Reading,4,944978.0,8230507,3846357,8709.73,4070.31
2015,Arizona,262.7693918,Reading,8,944978.0,8230507,3846357,8709.73,4070.31
2015,Arkansas,235.21546969999997,Mathematics,4,479682.0,5308625,2620399,11066.97,5462.78
2015,Arkansas,275.06475639999996,Mathematics,8,479682.0,5308625,2620399,11066.97,5462.78
2015,Arkansas,218.07749619999998,Reading,4,479682.0,5308625,2620399,11066.97,5462.78
2015,Arkansas,258.76826800000003,Reading,8,479682.0,5308625,2620399,11066.97,5462.78
2015,California,231.54934500000002,Mathematics,4,6226523.0,78248042,38951948,12566.89,6255.81
2015,California,275.324573,Mathematics,8,6226523.0,78248042,38951948,12566.89,6255.81
2015,California,212.67794849999999,Reading,4,6226523.0,78248042,38951948,12566.89,6255.81
2015,California,258.9868426,Reading,8,6226523.0,78248042,38951948,12566.89,6255.81
2015,Colorado,241.5635756,Mathematics,4,872320.0,9648297,4578938,11060.5,5249.15
